id,budget,overview,popularity,revenue,runtime,title,vote_average,vote_count,collections,company,country,language,director,genre,actor,year,return
9603,12000000.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,0.0,97.0,Clueless,6.9,828.0,None,Paramount Pictures,United States of America,Español,Amy Heckerling,"['Comedy', 'Drama', 'Romance']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",1995,0.0
35196,19000000.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.979269,0.0,117.0,Restoration,6.3,30.0,None,Miramax Films,United States of America,English,Michael Hoffman,"['Drama', 'Romance']","['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill']",1995,0.0
11861,10000000.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,23574130.0,116.0,How To Make An American Quilt,6.5,38.0,None,Universal Pictures,United States of America,English,Jocelyn Moorhouse,"['Drama', 'Romance']","['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']",1995,2.36
10530,55000000.0,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,346079773.0,81.0,Pocahontas,6.7,1509.0,Pocahontas Collection,Walt Disney Pictures,United States of America,English,Mike Gabriel,"['Adventure', 'Animation', 'Drama', 'Family']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",1995,6.29
11448,15000000.0,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,6700000.0,95.0,Mighty Aphrodite,6.7,145.0,None,Miramax Films,United States of America,English,Woody Allen,"['Comedy', 'Romance']","['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']",1995,0.45
26441,0.0,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",5.982764,0.0,100.0,The Big Green,5.2,41.0,None,Walt Disney Pictures,United States of America,English,Holly Goldberg Sloan,"['Action', 'Adventure', 'Comedy', 'Family']","['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",1995,0.0
97406,0.0,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",4.093443,0.0,115.0,Georgia,6.1,15.0,None,Miramax Films,France,English,Ulu Grosbard,['Drama'],"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']",1995,0.0
9089,0.0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8.416802,17519169.0,103.0,Home for the Holidays,6.3,39.0,None,Paramount Pictures,United States of America,English,Jodie Foster,"['Comedy', 'Drama', 'Romance']","['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']",1995,0.0
11359,45000000.0,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,10.673296,0.0,96.0,The Indian in the Cupboard,5.9,136.0,None,Paramount Pictures,United States of America,English,Frank Oz,"['Adventure', 'Family', 'Fantasy']","['Hal Scardino', 'Litefoot', 'Lindsay Crouse']",1995,0.0
17182,20000000.0,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",4.733526,0.0,101.0,Eye for an Eye,5.8,65.0,None,Paramount Pictures,United States of America,English,John Schlesinger,"['Drama', 'Thriller']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris']",1996,0.0
10607,0.0,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",11.700115,0.0,89.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,None,Miramax Films,United States of America,English,Paris Barclay,['Comedy'],"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']",1996,0.0
19760,0.0,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",2.174487,0.0,96.0,Two If by Sea,4.5,14.0,None,Warner Bros.,United States of America,English,Bill Bennett,"['Comedy', 'Romance']","['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto']",1996,0.0
40628,0.0,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",4.046208,0.0,85.0,Two Bits,5.4,11.0,None,Miramax Films,United States of America,English,James Foley,"['Drama', 'Family']","['Jerry Barone', 'Al Pacino', 'Mary Elizabeth Mastrantonio']",1995,0.0
36929,15000000.0,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.936443,2042530.0,90.0,Big Bully,3.9,16.0,None,Warner Bros.,United States of America,English,Steve Miner,"['Comedy', 'Family']","['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']",1996,0.14
27526,0.0,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",5.756462,0.0,111.0,The Crossing Guard,6.1,74.0,None,Miramax Films,United States of America,English,Sean Penn,"['Drama', 'Thriller']","['Jack Nicholson', 'David Morse', 'Anjelica Huston']",1995,0.0
9623,44000000.0,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",6.010579,0.0,118.0,The Juror,5.5,91.0,None,Columbia Pictures Corporation,United States of America,English,Brian Gibson,"['Drama', 'Thriller']","['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",1996,0.0
400,8000000.0,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,4.486179,529766.0,116.0,Things to Do in Denver When You're Dead,6.7,87.0,None,Miramax Films,United States of America,English,Gary Fleder,"['Drama', 'Crime']","['Andy García', 'Christopher Lloyd', 'William Forsythe']",1995,0.07
13997,0.0,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",8.963037,32.0,87.0,Black Sheep,6.0,124.0,None,Paramount Pictures,United States of America,English,Penelope Spheeris,['Comedy'],"['Chris Farley', 'David Spade', 'Grant Heslov']",1996,0.0
2086,8169363.0,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",6.848591,8175346.0,90.0,Nick of Time,6.1,190.0,None,Paramount Pictures,United States of America,English,John Badham,"['Crime', 'Drama', 'Thriller']","['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']",1995,1.0
61548,0.0,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",0.411424,0.0,91.0,The Journey of August King,6.7,3.0,None,Miramax Films,United States of America,English,John Duigan,['Drama'],"['Jason Patric', 'Thandie Newton', 'Larry Drake']",1995,0.0
9095,47000000.0,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",12.866139,12379402.0,104.0,Mary Reilly,5.7,77.0,None,TriStar Pictures,United States of America,English,Stephen Frears,"['Drama', 'Horror', 'Thriller', 'Romance']","['Julia Roberts', 'John Malkovich', 'George Cole']",1996,0.26
12158,14000000.0,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",9.071127,19800000.0,100.0,Vampire in Brooklyn,4.5,113.0,None,Paramount Pictures,United States of America,English,Wes Craven,"['Comedy', 'Horror', 'Romance']","['Eddie Murphy', 'Angela Bassett', 'Allen Payne']",1995,1.41
9283,0.0,"During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",4.670562,0.0,112.0,Beautiful Girls,6.6,103.0,None,Miramax Films,United States of America,English,Ted Demme,"['Comedy', 'Drama', 'Romance']","['Matt Dillon', 'Noah Emmerich', 'Annabeth Gish']",1996,0.0
11062,0.0,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",4.807223,0.0,111.0,City Hall,6.0,67.0,None,Columbia Pictures,United States of America,English,Harold Becker,"['Drama', 'Thriller']","['Al Pacino', 'John Cusack', 'Bridget Fonda']",1996,0.0
47475,0.0,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.",3.329264,0.0,96.0,Mr. Wrong,3.3,16.0,None,Touchstone Pictures,United States of America,English,Nick Castle,"['Comedy', 'Romance']","['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack']",1996,0.0
9614,12000000.0,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",9.592265,41205099.0,92.0,Happy Gilmore,6.5,767.0,None,Universal Pictures,United States of America,English,Dennis Dugan,['Comedy'],"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']",1996,3.43
10874,0.0,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",6.902423,34327391.0,100.0,Muppet Treasure Island,6.5,93.0,The Muppet Collection,Walt Disney Pictures,United States of America,English,Brian Henson,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']","['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']",1996,0.0
103,1300000.0,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,28262574.0,114.0,Taxi Driver,8.1,2632.0,None,Columbia Pictures Corporation,United States of America,English,Martin Scorsese,"['Crime', 'Drama']","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']",1976,21.74
71754,0.0,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town. Until she meets Neil Currie, a charming and sincere bagpipe-playing, Gaelic-speaking dishwasher. But no matter what you do, you can't avoid the spectre of the pit forever.",0.372697,0.0,114.0,Margaret's Museum,7.5,2.0,None,Téléfilm Canada,Canada,English,Mort Ransen,['Drama'],"['Helena Bonham Carter', 'Clive Russell', 'Craig Olejnik']",1995,0.0
10324,0.0,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge.",2.891918,0.0,92.0,If Lucy Fell,5.4,11.0,None,TriStar Pictures,United States of America,English,Eric Schaeffer,"['Comedy', 'Romance']","['Sarah Jessica Parker', 'Elle Macpherson', 'Scarlett Johansson']",1996,0.0
55731,0.0,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.",1.317878,0.0,100.0,Race the Sun,5.2,21.0,None,TriStar Pictures,United States of America,English,Charles T. Kanganis,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']","['Halle Berry', 'Jim Belushi', 'Casey Affleck']",1996,0.0
11066,40000000.0,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",6.506983,70100000.0,117.0,Boomerang,5.4,139.0,None,Paramount Pictures,United States of America,Français,Reginald Hudlin,"['Comedy', 'Romance']","['Eddie Murphy', 'Robin Givens', 'Halle Berry']",1992,1.75
2074,7000000.0,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.579088,14702438.0,92.0,Flirting with Disaster,6.3,66.0,None,Miramax Films,United States of America,English,David O. Russell,"['Comedy', 'Romance']","['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']",1996,2.1
11863,50000000.0,"Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.",11.418917,9851610.0,95.0,Jade,5.1,45.0,None,Paramount Pictures,United States of America,English,William Friedkin,"['Action', 'Thriller', 'Mystery', 'Romance']","['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']",1995,0.2
16388,0.0,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",2.039196,0.0,98.0,The Brothers McMullen,6.3,23.0,None,Fox Searchlight Pictures,United States of America,English,Edward Burns,"['Comedy', 'Drama', 'Romance']","['Shari Albert', 'Maxine Bahns', 'Catharine Bolz']",1995,0.0
9737,19000000.0,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",9.262184,141407024.0,118.0,Bad Boys,6.5,1729.0,Bad Boys Collection,Columbia Pictures,United States of America,English,Michael Bay,"['Action', 'Comedy', 'Crime', 'Thriller']","['Will Smith', 'Martin Lawrence', 'Téa Leoni']",1995,7.44
30765,0.0,"Far from home in the lush bamboo forests of China, ten-year-old Ryan Tyler, with the help of a young girl, goes on a wonderful journey to rescue a baby panda taken by poachers.",2.375865,0.0,81.0,The Amazing Panda Adventure,5.0,31.0,None,Warner Bros.,United States of America,Deutsch,Christopher Cain,"['Action', 'Adventure', 'Drama', 'Family']","['Stephen Lang', 'Ryan Slater', 'Yi Ding']",1995,0.0
414,100000000.0,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,336529144.0,121.0,Batman Forever,5.2,1529.0,Batman Collection,Warner Bros.,United Kingdom,English,Joel Schumacher,"['Action', 'Crime', 'Fantasy']","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']",1995,3.37
1873,0.0,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",2.04189,0.0,100.0,Beyond Rangoon,6.4,21.0,None,Columbia Pictures,None,English,John Boorman,"['Drama', 'Thriller']","['Patricia Arquette', 'Frances McDormand', 'U Aung Ko']",1995,0.0
5894,2000000.0,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",11.528147,1275000.0,83.0,Blue in the Face,6.8,28.0,Brooklyn Cigar Store Collection,Miramax Films,United States of America,English,Paul Auster,['Comedy'],"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']",1995,0.64
8839,50000000.0,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",12.812539,287928194.0,100.0,Casper,6.0,1045.0,Casper Collection,Universal Pictures,United States of America,English,Brad Silberling,"['Fantasy', 'Comedy', 'Family']","['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']",1995,5.76
20649,25000000.0,"Strike is a young city drug pusher under the tutelage of drug-lord Rodney Little.When a night man at a fast-food restaurant is found with four bullets in his body, Strike's older brother turns himself in as the killer. Det. Rocco Klein doesn't buy the story, however, and sets out to find the truth, and it seems that all the fingers point toward Strike &amp; Rodney.",4.558992,13071518.0,128.0,Clockers,6.8,69.0,None,Universal Pictures,United States of America,English,Spike Lee,"['Mystery', 'Crime', 'Drama']","['Harvey Keitel', 'John Turturro', 'Delroy Lindo']",1995,0.52
